analyst_id,series,cntry,year,unemp
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2011,11
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2012,11
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2013,10.2
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2004,4.7
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2005,4.6
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2006,4.8
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2007,5
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2008,6.8
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2009,12.6
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2010,14.6
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2011,15.4
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2012,15.5
018OL,une_rt_a_h Y15-74 PC_ACT T,IE,2013,13.8
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2004,8
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2005,7.7
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2006,6.8
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2007,6.1
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2008,6.7
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2009,7.8
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2010,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2011,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2012,10.7
018OL,une_rt_a_h Y15-74 PC_ACT T,IT,2013,12.2
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2004,10.9
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2005,8.3
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2006,5.8
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2007,4.3
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2008,5.8
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2009,13.8
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2010,17.8
