cell,rows,fitted,derived,has_mi,has_beta,bytes
mcomm__growth__other__pooled_cl__all__n_eff,148,100,48,FALSE,TRUE,7011
mcomm__growth__other__pooled_cl__all__none,148,100,48,FALSE,TRUE,6950
mcomm__growth__other__pooled_cl__all__pop,148,100,48,FALSE,TRUE,7063
mcomm__growth__other__pooled_cl__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,7153
mcomm__growth__other__pooled_cl__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,7148
mcomm__growth__other__pooled_cl__no_GR_ES__none,148,100,48,FALSE,TRUE,7114
mcomm__growth__other__pooled_cl__no_GR_ES__pop,148,100,48,FALSE,TRUE,7188
mcomm__growth__other__pooled_cl__no_bailout__n_cell,148,100,48,FALSE,TRUE,7030
mcomm__growth__other__pooled_cl__no_bailout__n_eff,148,100,48,FALSE,TRUE,7076
mcomm__growth__other__pooled_cl__no_bailout__none,148,100,48,FALSE,TRUE,7088
mcomm__growth__other__pooled_cl__no_bailout__pop,148,100,48,FALSE,TRUE,7259
mcomm__growth__other__pooled_cl__y2004_2008__n_cell,148,100,48,FALSE,TRUE,7121
mcomm__growth__other__pooled_cl__y2004_2008__n_eff,148,100,48,FALSE,TRUE,7157
mcomm__growth__other__pooled_cl__y2004_2008__none,148,100,48,FALSE,TRUE,7144
mcomm__growth__other__pooled_cl__y2004_2008__pop,148,100,48,FALSE,TRUE,7223
mcomm__growth__other__pooled_cl__y2009_2013__n_cell,148,100,48,FALSE,TRUE,7022
mcomm__growth__other__pooled_cl__y2009_2013__n_eff,148,100,48,FALSE,TRUE,7059
mcomm__growth__other__pooled_cl__y2009_2013__none,148,100,48,FALSE,TRUE,6941
mcomm__growth__other__pooled_cl__y2009_2013__pop,148,100,48,FALSE,TRUE,7126
mcomm__growth__other__re__all__none,148,100,48,FALSE,TRUE,7004
mcomm__growth__other__re__no_GR_ES__none,148,100,48,FALSE,TRUE,7043
mcomm__growth__other__re__no_bailout__none,148,100,48,FALSE,TRUE,6990
mcomm__growth__other__re__y2004_2008__none,148,100,48,FALSE,TRUE,7033
mcomm__growth__other__re__y2009_2013__none,148,100,48,FALSE,TRUE,7144
mcomm__unemp__none__fe_country__all__n_cell,732,492,240,TRUE,TRUE,41355
mcomm__unemp__none__fe_country__all__n_eff,732,492,240,TRUE,TRUE,41341
mcomm__unemp__none__fe_country__all__none,732,492,240,TRUE,TRUE,41331
mcomm__unemp__none__fe_country__all__pop,732,492,240,TRUE,TRUE,41355
mcomm__unemp__none__fe_country__no_GR_ES__n_cell,732,492,240,TRUE,TRUE,41528
mcomm__unemp__none__fe_country__no_GR_ES__n_eff,732,492,240,TRUE,TRUE,41499
mcomm__unemp__none__fe_country__no_GR_ES__none,732,492,240,TRUE,TRUE,41277
mcomm__unemp__none__fe_country__no_GR_ES__pop,732,492,240,TRUE,TRUE,41723
mcomm__unemp__none__fe_country__no_bailout__n_cell,732,492,240,TRUE,TRUE,41652
mcomm__unemp__none__fe_country__no_bailout__n_eff,732,492,240,TRUE,TRUE,41603
mcomm__unemp__none__fe_country__no_bailout__none,732,492,240,TRUE,TRUE,41394
mcomm__unemp__none__fe_country__no_bailout__pop,732,492,240,TRUE,TRUE,41705
mcomm__unemp__none__fe_country__y2004_2008__n_cell,732,396,240,TRUE,TRUE,34035
mcomm__unemp__none__fe_country__y2004_2008__n_eff,732,396,240,TRUE,TRUE,34081
mcomm__unemp__none__fe_country__y2004_2008__none,732,396,240,TRUE,TRUE,33905
mcomm__unemp__none__fe_country__y2004_2008__pop,732,396,240,TRUE,TRUE,34128
mcomm__unemp__none__fe_country__y2009_2013__n_cell,732,492,240,TRUE,TRUE,41268
mcomm__unemp__none__fe_country__y2009_2013__n_eff,732,492,240,TRUE,TRUE,41249
mcomm__unemp__none__fe_country__y2009_2013__none,732,492,240,TRUE,TRUE,41137
mcomm__unemp__none__fe_country__y2009_2013__pop,732,492,240,TRUE,TRUE,41697
mcomm__unemp__none__fe_twoway__all__n_cell,732,492,240,TRUE,TRUE,41127
mcomm__unemp__none__fe_twoway__all__n_eff,732,492,240,TRUE,TRUE,41248
mcomm__unemp__none__fe_twoway__all__none,732,492,240,TRUE,TRUE,41185
mcomm__unemp__none__fe_twoway__all__pop,732,492,240,TRUE,TRUE,41189
mcomm__unemp__none__fe_twoway__no_GR_ES__n_cell,732,492,240,TRUE,TRUE,41486
mcomm__unemp__none__fe_twoway__no_GR_ES__n_eff,732,492,240,TRUE,TRUE,41456
mcomm__unemp__none__fe_twoway__no_GR_ES__none,732,492,240,TRUE,TRUE,41216
