outcome,predictor,copredictor,estimator,sample,reg_weight,construction,variants,fitted,median_rca,min_rca,max_rca,share_claim,share_sig,share_both
mcomm,growth,none,fe_twoway,all,n_cell,rate,50,50,-0.16888326237693524,-0.305604789950469,-0.11047634908595144,1,0.76,0.76
mcomm,growth,none,fe_twoway,all,n_cell,share,50,50,-0.20548262947890114,-0.3689287012161931,-0.1089087818654673,1,0.76,0.76
mcomm,growth,none,fe_twoway,all,n_eff,count,48,48,-0.16972661235995606,-0.27240791474267223,-0.11047634908595144,1,0.75,0.75
mcomm,growth,none,fe_twoway,all,n_eff,rate,50,50,-0.1698570430525132,-0.30943785677223146,-0.11047634908595144,1,0.76,0.76
mcomm,growth,none,fe_twoway,all,n_eff,share,50,50,-0.20799423358792313,-0.3722561891950491,-0.1089087818654673,1,0.76,0.76
mcomm,growth,none,fe_twoway,all,none,count,48,48,-0.15176842157126189,-0.2426732582969517,-0.1009528340415998,1,0.7291666666666666,0.7291666666666666
mcomm,growth,none,fe_twoway,all,none,rate,50,50,-0.1577831400825861,-0.28306529886395454,-0.1009528340415998,1,0.74,0.74
mcomm,growth,none,fe_twoway,all,none,share,50,50,-0.1935847247313774,-0.3514360327707416,-0.10302033186936618,1,0.76,0.76
mcomm,growth,none,fe_twoway,all,pop,count,48,48,-0.27075722042925765,-0.3751882080971085,-0.2094277598061855,1,1,1
mcomm,growth,none,fe_twoway,all,pop,rate,50,50,-0.2791192769112454,-0.4046283205227163,-0.2094277598061855,1,1,1
mcomm,growth,none,fe_twoway,all,pop,share,50,50,-0.30397348399274826,-0.46043188636227667,-0.2250101224172713,1,1,1
mcomm,growth,none,fe_twoway,no_GR_ES,n_cell,count,48,48,-0.1307588776613664,-0.22542067714981587,-0.08610916203049673,1,0.5,0.5
mcomm,growth,none,fe_twoway,no_GR_ES,n_cell,rate,50,50,-0.14233589631800692,-0.25990974695004226,-0.08610916203049673,1,0.52,0.52
mcomm,growth,none,fe_twoway,no_GR_ES,n_cell,share,50,50,-0.14289564937181493,-0.2918693520967714,-0.07613516752308971,1,0.52,0.52
mcomm,growth,none,fe_twoway,no_GR_ES,n_eff,count,48,48,-0.13120334865474995,-0.22542067714981587,-0.08610916203049673,1,0.5,0.5
