outcome,pred_form,copredictor,estimator,sample,reg_weight,r_ca
mlib,log,other,re,no_GR_ES,none,-0.2434093283884594
mpos,log,other,re,no_GR_ES,none,-0.39523304998835984
mneg,log,other,re,no_GR_ES,none,-0.4384580412445227
mcosmo,log,other,pooled_cl,no_GR_ES,none,0.07102922613505666
mutil,log,other,pooled_cl,no_GR_ES,none,-0.01127142318008996
mcomm,log,other,pooled_cl,no_GR_ES,none,0.11591217029544
mlib,log,other,pooled_cl,no_GR_ES,none,0.06657315637179342
mpos,log,other,pooled_cl,no_GR_ES,none,0.04833325943509041
mneg,log,other,pooled_cl,no_GR_ES,none,0.11874349219292368
mcosmo,log,other,pooled_cl,no_GR_ES,n_cell,0.1482075420747333
mutil,log,other,pooled_cl,no_GR_ES,n_cell,-0.01031311922172315
mcomm,log,other,pooled_cl,no_GR_ES,n_cell,0.12277103252013416
mlib,log,other,pooled_cl,no_GR_ES,n_cell,0.13041010869656358
mpos,log,other,pooled_cl,no_GR_ES,n_cell,0.1074199459938482
mneg,log,other,pooled_cl,no_GR_ES,n_cell,0.1610481790337221
