outcome,pred_form,copredictor,estimator,sample,reg_weight,r_ca
mcomm,raw,none,pooled_cl,y2009_2013,none,-0.04687871980250435
mlib,raw,none,pooled_cl,y2009_2013,none,0.24679915258896415
mpos,raw,none,pooled_cl,y2009_2013,none,-0.04588678371725792
mneg,raw,none,pooled_cl,y2009_2013,none,0.1215759948554562
mcosmo,raw,none,pooled_cl,y2009_2013,n_cell,0.0105482309906269
mutil,raw,none,pooled_cl,y2009_2013,n_cell,0.12299467703737864
mcomm,raw,none,pooled_cl,y2009_2013,n_cell,0.00270559225468589
mlib,raw,none,pooled_cl,y2009_2013,n_cell,0.3434178850922842
mpos,raw,none,pooled_cl,y2009_2013,n_cell,0.05247625188179519
mneg,raw,none,pooled_cl,y2009_2013,n_cell,0.2274779145727253
mcosmo,raw,none,fe_twoway,no_bailout,none,0.10832354443767152
mutil,raw,none,fe_twoway,no_bailout,none,-0.19395060800954905
mcomm,raw,none,fe_twoway,no_bailout,none,-0.25165415702206606
mlib,raw,none,fe_twoway,no_bailout,none,0.16618021382373388
mpos,raw,none,fe_twoway,no_bailout,none,0.01532103909094142
mneg,raw,none,fe_twoway,no_bailout,none,-0.06698304882174903
mcosmo,raw,none,fe_twoway,no_bailout,n_cell,0.12917922877631846
mutil,raw,none,fe_twoway,no_bailout,n_cell,-0.2061492150802672
mcomm,raw,none,fe_twoway,no_bailout,n_cell,-0.2709269582892696
mlib,raw,none,fe_twoway,no_bailout,n_cell,0.2270745232963036
mpos,raw,none,fe_twoway,no_bailout,n_cell,0.0309727949753253
mneg,raw,none,fe_twoway,no_bailout,n_cell,-0.04122279312123209
mcosmo,raw,none,fe_country,no_bailout,none,-0.11623219985696912
mutil,raw,none,fe_country,no_bailout,none,-0.2816598389340119
mcomm,raw,none,fe_country,no_bailout,none,-0.3411506416705011
mlib,raw,none,fe_country,no_bailout,none,-0.15446195304834026
mpos,raw,none,fe_country,no_bailout,none,-0.2409737045348976
mneg,raw,none,fe_country,no_bailout,none,-0.31399930172578766
mcosmo,raw,none,fe_country,no_bailout,n_cell,-0.09447160927575109
mutil,raw,none,fe_country,no_bailout,n_cell,-0.29750529177887447
mcomm,raw,none,fe_country,no_bailout,n_cell,-0.3680284715504647
mlib,raw,none,fe_country,no_bailout,n_cell,-0.10013120115153672
mpos,raw,none,fe_country,no_bailout,n_cell,-0.2259064888198418
mneg,raw,none,fe_country,no_bailout,n_cell,-0.30052997539093806
mcosmo,raw,none,re,no_bailout,none,-0.07372057588384828
mutil,raw,none,re,no_bailout,none,-0.24608804557599404
mcomm,raw,none,re,no_bailout,none,-0.2921254316918779
mlib,raw,none,re,no_bailout,none,-0.12291342773187644
mpos,raw,none,re,no_bailout,none,-0.19682413980412797
mneg,raw,none,re,no_bailout,none,-0.2676510633281671
mcosmo,raw,none,pooled_cl,no_bailout,none,0.25307897006599883
mutil,raw,none,pooled_cl,no_bailout,none,0.09779620993019866
mcomm,raw,none,pooled_cl,no_bailout,none,0.249681354143517
mlib,raw,none,pooled_cl,no_bailout,none,0.18115866584430648
mpos,raw,none,pooled_cl,no_bailout,none,0.23576371835656745
mneg,raw,none,pooled_cl,no_bailout,none,0.25525855224773986
mcosmo,raw,none,pooled_cl,no_bailout,n_cell,0.3024281332652426
mutil,raw,none,pooled_cl,no_bailout,n_cell,0.11730837970779226
mcomm,raw,none,pooled_cl,no_bailout,n_cell,0.25161143778948397
mlib,raw,none,pooled_cl,no_bailout,n_cell,0.2417225294404416
mpos,raw,none,pooled_cl,no_bailout,n_cell,0.28151309815768266
mneg,raw,none,pooled_cl,no_bailout,n_cell,0.2940892628716134
mcosmo,raw,none,fe_twoway,no_GR_ES,none,-0.10935973072701452
mutil,raw,none,fe_twoway,no_GR_ES,none,-0.24761773905105347
mcomm,raw,none,fe_twoway,no_GR_ES,none,-0.4134668568880332
mlib,raw,none,fe_twoway,no_GR_ES,none,0.09242675094924524
mpos,raw,none,fe_twoway,no_GR_ES,none,-0.2085275633016004
mneg,raw,none,fe_twoway,no_GR_ES,none,-0.275900571197357
mcosmo,raw,none,fe_twoway,no_GR_ES,n_cell,-0.02585699189931959
mutil,raw,none,fe_twoway,no_GR_ES,n_cell,-0.26825938474792316
mcomm,raw,none,fe_twoway,no_GR_ES,n_cell,-0.3936016144629273
mlib,raw,none,fe_twoway,no_GR_ES,n_cell,0.16302388321703024
mpos,raw,none,fe_twoway,no_GR_ES,n_cell,-0.1443529369916194
mneg,raw,none,fe_twoway,no_GR_ES,n_cell,-0.2062779295729601
mcosmo,raw,none,fe_country,no_GR_ES,none,-0.28121416818152245
mutil,raw,none,fe_country,no_GR_ES,none,-0.4031930368007148
mcomm,raw,none,fe_country,no_GR_ES,none,-0.4693387454537349
mlib,raw,none,fe_country,no_GR_ES,none,-0.2613317580190597
mpos,raw,none,fe_country,no_GR_ES,none,-0.4213375950687171
mneg,raw,none,fe_country,no_GR_ES,none,-0.46969094784077153
mcosmo,raw,none,fe_country,no_GR_ES,n_cell,-0.2105542498340627
mutil,raw,none,fe_country,no_GR_ES,n_cell,-0.4135938179753429
mcomm,raw,none,fe_country,no_GR_ES,n_cell,-0.4480430932809626
mlib,raw,none,fe_country,no_GR_ES,n_cell,-0.2023770904185088
mpos,raw,none,fe_country,no_GR_ES,n_cell,-0.37215876436219175
mneg,raw,none,fe_country,no_GR_ES,n_cell,-0.4222907381680095
mcosmo,raw,none,re,no_GR_ES,none,-0.2447768621022397
mutil,raw,none,re,no_GR_ES,none,-0.3739474451241682
mcomm,raw,none,re,no_GR_ES,none,-0.4294632379206835
mlib,raw,none,re,no_GR_ES,none,-0.23525725050159432
mpos,raw,none,re,no_GR_ES,none,-0.3848095664881719
mneg,raw,none,re,no_GR_ES,none,-0.42720965582068793
mcosmo,raw,none,pooled_cl,no_GR_ES,none,0.05433113952122097
mutil,raw,none,pooled_cl,no_GR_ES,none,-0.03646608821686241
mcomm,raw,none,pooled_cl,no_GR_ES,none,0.05914375101192549
mlib,raw,none,pooled_cl,no_GR_ES,none,0.0733321255659399
mpos,raw,none,pooled_cl,no_GR_ES,none,0.02320780680916444
mneg,raw,none,pooled_cl,no_GR_ES,none,0.08537581661053295
mcosmo,raw,none,pooled_cl,no_GR_ES,n_cell,0.13651968360176017
mutil,raw,none,pooled_cl,no_GR_ES,n_cell,-0.00933747988436267
mcomm,raw,none,pooled_cl,no_GR_ES,n_cell,0.09417605540949026
mlib,raw,none,pooled_cl,no_GR_ES,n_cell,0.14056546848471307
mpos,raw,none,pooled_cl,no_GR_ES,n_cell,0.09715037151891558
mneg,raw,none,pooled_cl,no_GR_ES,n_cell,0.14881499475325508
mcosmo,raw,other,fe_twoway,all,none,-0.23127372130510404
mutil,raw,other,fe_twoway,all,none,-0.10487726914539998
mcomm,raw,other,fe_twoway,all,none,-0.4341338417752544
mlib,raw,other,fe_twoway,all,none,-0.01269210827031928
mpos,raw,other,fe_twoway,all,none,-0.2581937198432404
mneg,raw,other,fe_twoway,all,none,-0.3405581657988601
