"outcome","pred_form","copredictor","estimator","sample","weights","family","predictor","estimate","se","statistic","df","n","r","conf_low","conf_high","positive_outcome","sig","supports_claim","baseline"
"mcosmo","raw","growth","fe_country","y2009_2013","n_cy","gaussian","unemp",-0.00718333133201646,0.0013011392974121,-5.52080115196251,106,135,-0.472572884409649,-0.0097629665402412,-0.00460369612379173,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","no_bailout","none","gaussian","unemp",-0.00280477576395747,0.0013553979173349,-2.06933751932602,169,190,-0.157200675683411,-0.00548046739897195,-0.000129084128942991,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","no_bailout","n_cy","gaussian","unemp",-0.00203560385323858,0.00127093782369761,-1.60165494745941,169,190,-0.122279663350507,-0.00454456277961632,0.000473355073139155,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","no_GR_ES","none","gaussian","unemp",-0.00516248180234612,0.00109077300682639,-4.73286538082415,223,250,-0.30212513646631,-0.00731202340248639,-0.00301294020220585,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","no_GR_ES","n_cy","gaussian","unemp",-0.00357778540531487,0.00101156755024894,-3.53687245546219,223,250,-0.230470431146964,-0.00557124006270369,-0.00158433074792605,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","re","all","none","gaussian","unemp",-0.00550007578379258,0.00088084944869554,-6.24405883654433,267,270,-0.356955926618885,-0.00723437024141996,-0.0037657813261652,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","re","y2004_2008","none","gaussian","unemp",-0.00721211204470233,0.00167707228717443,-4.30041811546087,132,135,-0.350551373341203,-0.0105295267937851,-0.00389469729561955,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","re","y2009_2013","none","gaussian","unemp",-0.00743789502652254,0.00120808790404628,-6.15674985372389,132,135,-0.472332361600552,-0.00982761231045903,-0.00504817774258606,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","re","no_bailout","none","gaussian","unemp",-0.00195117435107215,0.00134133478472596,-1.45465127221821,187,190,-0.105777851713992,-0.00459726710709192,0.00069491840494761,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","re","no_GR_ES","none","gaussian","unemp",-0.00435343401592098,0.00108772619134705,-4.00232526397992,247,250,-0.246785218311947,-0.00649583557199744,-0.00221103245984451,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","pooled_cl","all","none","gaussian","unemp",-0.000374368652187245,0.00219453533553705,-0.170591307474039,267,270,-0.0104394495697806,-0.0046951643058891,0.00394642700151461,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","pooled_cl","all","n_cy","gaussian","unemp",0.000910366359864002,0.002324725747929,0.391601616093859,267,270,0.0239587503229505,-0.00366675971554833,0.00548749243527634,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","pooled_cl","y2004_2008","none","gaussian","unemp",0.00233271414087063,0.00309144326326804,0.754571228457436,132,135,0.0655358041550147,-0.00378246619807401,0.00844789447981527,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","pooled_cl","y2004_2008","n_cy","gaussian","unemp",0.00346120000560871,0.00328489936224829,1.05367002879496,132,135,0.0913269439959663,-0.00303665561869191,0.00995905562990934,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","pooled_cl","y2009_2013","none","gaussian","unemp",-0.00116842043439472,0.00248997739287657,-0.469249414768739,132,135,-0.0408088957157421,-0.00609384183166111,0.00375700096287166,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","pooled_cl","y2009_2013","n_cy","gaussian","unemp",0.000585870027231837,0.0026553699111068,0.220635936553049,132,135,0.0192003532092203,-0.00466671411880868,0.00583845417327235,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","pooled_cl","no_bailout","none","gaussian","unemp",0.00596615472750838,0.00315896567898882,1.8886418321006,187,190,0.136812504343589,-0.000265634900906513,0.0121979443559233,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","pooled_cl","no_bailout","n_cy","gaussian","unemp",0.00730162332714842,0.00312985240802386,2.33289701087169,187,190,0.168168703066581,0.00112726635185015,0.0134759803024467,TRUE,TRUE,FALSE,FALSE
"mcosmo","raw","growth","pooled_cl","no_GR_ES","none","gaussian","unemp",0.0016775672642028,0.00284872790214494,0.588882940676675,247,250,0.0374434485214936,-0.00393332924536414,0.00728846377376976,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","pooled_cl","no_GR_ES","n_cy","gaussian","unemp",0.00328259805703385,0.00283714106614195,1.15700910899635,247,250,0.0734200376038068,-0.00230547684937572,0.00887067296344343,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","fe_twoway","all","none","gaussian","unemp",-0.0357898221551868,0.0101271211794218,-3.53405686780082,233,270,-0.225557369801998,-0.0557422519873874,-0.0158373923229861,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_twoway","all","n_cy","gaussian","unemp",-0.0249547919656623,0.00954838616417074,-2.61350887329027,233,270,-0.168760901677343,-0.0437669994603739,-0.00614258447095059,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_twoway","y2004_2008","none","gaussian","unemp",-0.0676517312647445,0.0185145811847698,-3.65397038094469,103,135,-0.33874978653346,-0.104371036283996,-0.0309324262454934,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_twoway","y2004_2008","n_cy","gaussian","unemp",-0.0599437227165003,0.0175138484089528,-3.42264711426061,103,135,-0.319560388838631,-0.0946783103029741,-0.0252091351300264,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_twoway","y2009_2013","none","gaussian","unemp",-0.0678240877854485,0.0148382827414746,-4.57088525452294,103,135,-0.410654842502666,-0.0972523219166258,-0.0383958536542711,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_twoway","y2009_2013","n_cy","gaussian","unemp",-0.0575023548479424,0.0151220271810985,-3.80255597740337,103,135,-0.350858229811384,-0.0874933291525047,-0.0275113805433801,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_twoway","no_bailout","none","gaussian","unemp",0.0121449120128361,0.0131040265526098,0.926807646800544,161,190,0.0728486015061149,-0.0137330256577879,0.0380228496834601,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","fe_twoway","no_bailout","n_cy","gaussian","unemp",0.0137708361689886,0.012274090805131,1.1219434814049,161,190,0.0880778910009961,-0.0104681376718803,0.0380098100098575,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","fe_twoway","no_GR_ES","none","gaussian","unemp",-0.0242280659237067,0.0106050175873912,-2.28458517150528,215,250,-0.153949979600438,-0.045131182579722,-0.0033249492676915,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_twoway","no_GR_ES","n_cy","gaussian","unemp",-0.0106597828936099,0.0098935569411235,-1.07744696442808,215,250,-0.0732836918773963,-0.03016056855276,0.0088410027655402,TRUE,FALSE,TRUE,FALSE
"mcosmo","log","none","fe_country","all","none","gaussian","unemp",-0.0592372748309414,0.00857581442999044,-6.90748095292069,242,270,-0.405821904536474,-0.0761300438826737,-0.0423445057792092,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","all","n_cy","gaussian","unemp",-0.0495075095667449,0.00824416355070101,-6.00515859035029,242,270,-0.360125367937356,-0.0657469876972035,-0.0332680314362863,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","y2004_2008","none","gaussian","unemp",-0.0900114965502391,0.0147146470051189,-6.11713597471457,107,135,-0.509020692561643,-0.119181568071192,-0.0608414250292858,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","y2004_2008","n_cy","gaussian","unemp",-0.0812078332176788,0.0140911923822543,-5.76302068801129,107,135,-0.486695079457391,-0.109141978662206,-0.0532736877731514,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","y2009_2013","none","gaussian","unemp",-0.102708741808471,0.0164055373110738,-6.26061431947994,107,135,-0.517785944545416,-0.135230806152741,-0.0701866774642016,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","y2009_2013","n_cy","gaussian","unemp",-0.0857852303536065,0.017385084886559,-4.93441538614113,107,135,-0.430549631169319,-0.120249133521814,-0.0513213271853991,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","no_bailout","none","gaussian","unemp",-0.0268408590316392,0.0117851391381094,-2.27751736463123,170,190,-0.172072177002542,-0.0501049205920228,-0.00357679747125569,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","no_bailout","n_cy","gaussian","unemp",-0.0227379674570109,0.0111000050730442,-2.0484646004558,170,190,-0.155206217834658,-0.0446495629259886,-0.000826371988033096,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","no_GR_ES","none","gaussian","unemp",-0.048222347165491,0.00916939316635519,-5.25905545662835,224,250,-0.331514607714239,-0.0662916538457676,-0.0301530404852144,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","fe_country","no_GR_ES","n_cy","gaussian","unemp",-0.0359413894015399,0.00875273637190813,-4.10630320329235,224,250,-0.264586156023882,-0.0531896276356614,-0.0186931511674184,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","re","all","none","gaussian","unemp",-0.0540979056605202,0.00846674741369973,-6.38945548003315,268,270,-0.363586311267646,-0.0707677051076867,-0.0374281062133537,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","re","y2004_2008","none","gaussian","unemp",-0.0671779916835653,0.0143077436710881,-4.69521912244716,133,135,-0.377074242179993,-0.0954781544426185,-0.0388778289245122,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","re","y2009_2013","none","gaussian","unemp",-0.0832339735945761,0.0153502186020026,-5.42233148287003,133,135,-0.425491419682562,-0.113596111385844,-0.0528718358033082,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","re","no_bailout","none","gaussian","unemp",-0.020192428720911,0.0116406312828688,-1.73465065856245,188,190,-0.125511955265064,-0.0431554677683929,0.00277061032657088,TRUE,FALSE,TRUE,FALSE
"mcosmo","log","none","re","no_GR_ES","none","gaussian","unemp",-0.0435131906202442,0.00908920475007644,-4.78734848831283,248,250,-0.290854338672623,-0.0614150670068175,-0.025611314233671,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","none","pooled_cl","all","none","gaussian","unemp",-0.00515018811377387,0.0236583870448427,-0.217689739541926,268,270,-0.0132963417569782,-0.0517301258408445,0.0414297496132967,TRUE,FALSE,TRUE,FALSE
"mcosmo","log","none","pooled_cl","all","n_cy","gaussian","unemp",0.00907012143230723,0.0248139303421563,0.365525384622284,268,270,0.0223224529405919,-0.0397849136937441,0.0579251565583585,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","pooled_cl","y2004_2008","none","gaussian","unemp",0.0213947272993398,0.0284764781913746,0.751312263951941,133,135,0.0650092274852796,-0.034930643503116,0.0777200981017956,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","pooled_cl","y2004_2008","n_cy","gaussian","unemp",0.0322566687080066,0.0309125518234671,1.04348126586946,133,135,0.090113180508804,-0.0288871613753884,0.0934004987914016,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","pooled_cl","y2009_2013","none","gaussian","unemp",-0.00593030829929031,0.032785100336048,-0.180884250421823,133,135,-0.0156827247649815,-0.0707779668058453,0.0589173502072647,TRUE,FALSE,TRUE,FALSE
"mcosmo","log","none","pooled_cl","y2009_2013","n_cy","gaussian","unemp",0.013127712266968,0.0333562719293879,0.393560536224135,133,135,0.0341061724558093,-0.0528497015264062,0.0791051260603421,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","pooled_cl","no_bailout","none","gaussian","unemp",0.0478362049148711,0.0300618794141657,1.59125796015035,188,190,0.11528067479228,-0.011465743068319,0.107138152898061,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","pooled_cl","no_bailout","n_cy","gaussian","unemp",0.0611939654441915,0.0293377373013311,2.08584475399932,188,190,0.150395569072318,0.00332050559097246,0.119067425297411,TRUE,TRUE,FALSE,FALSE
"mcosmo","log","none","pooled_cl","no_GR_ES","none","gaussian","unemp",0.00879713695016981,0.0273214016306842,0.32198702940225,248,250,0.020441924417497,-0.0450144305245661,0.0626087044249058,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","none","pooled_cl","no_GR_ES","n_cy","gaussian","unemp",0.0260711447772621,0.0272630985499503,0.956279592706444,248,250,0.0606121675890106,-0.0276255903691289,0.0797678799236531,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","growth","fe_twoway","all","none","gaussian","unemp",-0.0362597827557041,0.010881806822656,-3.33214725703556,232,270,-0.213711967858651,-0.0576995748993453,-0.0148199906120628,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_twoway","all","n_cy","gaussian","unemp",-0.0249469276015553,0.0101112516988403,-2.46724424874287,232,270,-0.159898369638764,-0.0448685397260997,-0.0050253154770108,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_twoway","y2004_2008","none","gaussian","unemp",-0.0814724903920175,0.0190064664172892,-4.28656692955331,102,135,-0.39069880196231,-0.119171726412745,-0.0437732543712898,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_twoway","y2004_2008","n_cy","gaussian","unemp",-0.0759150311192988,0.0175471153056782,-4.32635392181716,102,135,-0.393765097879596,-0.110719651129568,-0.0411104111090299,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_twoway","y2009_2013","none","gaussian","unemp",-0.0539348804045451,0.0159676481490043,-3.3777598241923,102,135,-0.3171790578369,-0.0856066347984954,-0.0222631260105948,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_twoway","y2009_2013","n_cy","gaussian","unemp",-0.0454229774833174,0.0157680925601531,-2.88068942454739,102,135,-0.274291208510828,-0.0766989143129617,-0.0141470406536732,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_twoway","no_bailout","none","gaussian","unemp",0.00264396282336538,0.0134955153208638,0.19591418041502,160,190,0.0154865184834843,-0.0240083514368232,0.029296277083554,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","growth","fe_twoway","no_bailout","n_cy","gaussian","unemp",0.005609708551615,0.0125214773614736,0.448006923597936,160,190,0.0353958631388863,-0.0191189766230739,0.0303383937263039,TRUE,FALSE,FALSE,FALSE
"mcosmo","log","growth","fe_twoway","no_GR_ES","none","gaussian","unemp",-0.0283162612913505,0.0113160845939873,-2.50230201587536,214,250,-0.16860498635518,-0.0506215230272177,-0.00601099955548321,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_twoway","no_GR_ES","n_cy","gaussian","unemp",-0.0143716039240472,0.0103493442481726,-1.38864874714984,214,250,-0.0945012554777605,-0.0347713128810428,0.00602810503294827,TRUE,FALSE,TRUE,FALSE
"mcosmo","log","growth","fe_country","all","none","gaussian","unemp",-0.0656215669720461,0.00927383774658377,-7.07598825483218,241,270,-0.414752174385593,-0.0838896938717624,-0.0473534400723299,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_country","all","n_cy","gaussian","unemp",-0.0525454442285798,0.0087640572355486,-5.99556150950794,241,270,-0.360273003539312,-0.069809376821573,-0.0352815116355866,TRUE,TRUE,TRUE,FALSE
"mcosmo","log","growth","fe_country","y2004_2008","none","gaussian","unemp",-0.0910436037984472,0.0146621236716686,-6.20944181328721,106,135,-0.516455309526573,-0.120112690041565,-0.0619745175553299,TRUE,TRUE,TRUE,FALSE
