outcome_build,cell_weight,reg_weight,outcome,pred_form,copredictor,estimator,sample,estimate,se,statistic,df,n,r,positive_outcome,sig,supports_claim,r_ca,p
share,design,pop,mcosmo,log,growth,fe_country,y2004_2008,-0.04536493378327981,0.012797229192674101,-3.5449028145287427,106,135,-0.3255544481985339,TRUE,TRUE,TRUE,-0.3255544481985339,5.85918619998796e-4
share,design,pop,mcosmo,log,growth,fe_country,y2009_2013,-0.132885567889443,0.02147397897099886,-6.188213561581124,106,135,-0.5151588633558225,TRUE,TRUE,TRUE,-0.5151588633558225,1.1664607774002709e-8
share,design,pop,mcosmo,log,growth,fe_country,no_bailout,-0.03540035010810103,0.011935095234174287,-2.9660718589607598,169,190,-0.22244299966055536,TRUE,TRUE,TRUE,-0.22244299966055536,0.00345329409336542
share,design,pop,mcosmo,log,growth,fe_country,no_GR_ES,-0.04090524557504517,0.01005929769305946,-4.066411674372483,223,250,-0.26274001201456254,TRUE,TRUE,TRUE,-0.26274001201456254,6.622229329011393e-5
share,design,pop,mcosmo,log,growth,pooled_cl,all,0.037145459635798406,0.040245452308507235,0.9229728455044959,267,270,0.05639512653253768,TRUE,FALSE,FALSE,0.05639512653253768,0.35685465942541184
share,design,pop,mcosmo,log,growth,pooled_cl,y2004_2008,0.08796441507222641,0.05285154764256601,1.664367818840955,132,135,0.14336809085512062,TRUE,FALSE,FALSE,0.14336809085512062,0.09841102165812413
share,design,pop,mcosmo,log,growth,pooled_cl,y2009_2013,0.0017834207021276572,0.02772130822827047,0.0643339299661517,132,135,0.005599462078699938,TRUE,FALSE,FALSE,0.005599462078699938,0.9488016622768124
share,design,pop,mcosmo,log,growth,pooled_cl,no_bailout,0.09879972260778941,0.041193763506573,2.398414570497416,187,190,0.17275250964185845,TRUE,TRUE,FALSE,0.17275250964185845,0.01744940379308965
share,design,pop,mcosmo,log,growth,pooled_cl,no_GR_ES,0.07601336101912981,0.041219126263112416,1.8441283916091946,247,250,0.1165395374059238,TRUE,FALSE,FALSE,0.1165395374059238,0.06636201755115595
share,design,pop,mutil,raw,none,fe_twoway,all,-0.0015155516177834543,3.4784693343002323e-4,-4.356949773393186,233,270,-0.2744712894517995,TRUE,TRUE,TRUE,-0.2744712894517995,1.9779108901424165e-5
share,design,pop,mutil,raw,none,fe_twoway,y2004_2008,-8.67910275163496e-4,8.192128812201326e-4,-1.0594441262579193,103,135,-0.10382595320071382,TRUE,FALSE,TRUE,-0.10382595320071382,0.29187571138715296
share,design,pop,mutil,raw,none,fe_twoway,y2009_2013,-0.0043509786569280355,7.343692424738194e-4,-5.924783345052949,103,135,-0.5041628336167004,TRUE,TRUE,TRUE,-0.5041628336167004,4.1796857125380534e-8
share,design,pop,mutil,raw,none,fe_twoway,no_bailout,-7.725859295003709e-4,4.681905202548171e-4,-1.6501528674264565,161,190,-0.1289642466399717,TRUE,FALSE,TRUE,-0.1289642466399717,0.10086121350156059
share,design,pop,mutil,raw,none,fe_twoway,no_GR_ES,-0.0013566643149349174,4.5677142977518774e-4,-2.9701164006747005,215,250,-0.19852832582738342,TRUE,TRUE,TRUE,-0.19852832582738342,0.0033150732999741774
share,design,pop,mutil,raw,none,fe_country,all,-0.0022844381857366493,3.7603292123179744e-4,-6.0751015582714265,242,270,-0.36376754168772635,TRUE,TRUE,TRUE,-0.36376754168772635,4.7739335958079105e-9
share,design,pop,mutil,raw,none,fe_country,y2004_2008,4.163856189074862e-4,7.02361016253374e-4,0.5928370300627231,107,135,0.05721782615598412,TRUE,FALSE,FALSE,0.05721782615598412,0.5545411263489564
share,design,pop,mutil,raw,none,fe_country,y2009_2013,-0.005682645114516231,7.602910691136666e-4,-7.474302073732044,107,135,-0.5856747606647199,TRUE,TRUE,TRUE,-0.5856747606647199,2.2411378670795724e-11
share,design,pop,mutil,raw,none,fe_country,no_bailout,-9.000419350565861e-4,5.045883652558561e-4,-1.7837151964457438,170,190,-0.13554221810007003,TRUE,FALSE,TRUE,-0.13554221810007003,0.0762539017932194
share,design,pop,mutil,raw,none,fe_country,no_GR_ES,-0.001582062733173887,5.080382309031841e-4,-3.114062361726824,224,250,-0.20370438581891184,TRUE,TRUE,TRUE,-0.20370438581891184,0.0020860319162255
share,design,pop,mutil,raw,none,pooled_cl,all,3.1122668113510443e-4,8.487112253580409e-4,0.36670503680896765,268,270,0.0223944576400966,TRUE,FALSE,FALSE,0.0223944576400966,0.7141284029163717
share,design,pop,mutil,raw,none,pooled_cl,y2004_2008,-7.664887574806434e-4,0.0022940360192148404,-0.33412237256108246,133,135,-0.028959932360366352,TRUE,FALSE,TRUE,-0.028959932360366352,0.7388134852849959
share,design,pop,mutil,raw,none,pooled_cl,y2009_2013,0.0012968723043580849,9.770023360642962e-4,1.3273993894245286,133,135,0.11434519176907192,TRUE,FALSE,FALSE,0.11434519176907192,0.18665062486546885
share,design,pop,mutil,raw,none,pooled_cl,no_bailout,0.0012878275426296965,0.0011175592858558188,1.1523572475562114,188,190,0.08374903228031796,TRUE,FALSE,FALSE,0.08374903228031796,0.250637501710038
share,design,pop,mutil,raw,none,pooled_cl,no_GR_ES,3.4438025363542346e-5,0.0013685984755629301,0.025162986791562328,248,250,0.0015978492193602606,TRUE,FALSE,FALSE,0.0015978492193602606,0.9799451950785603
share,design,pop,mutil,raw,growth,fe_twoway,all,-8.89245903025117e-4,3.608120733490805e-4,-2.464568036127728,232,270,-0.1597293557751493,TRUE,TRUE,TRUE,-0.1597293557751493,0.014443904634092203
share,design,pop,mutil,raw,growth,fe_twoway,y2004_2008,-5.374909271403422e-4,8.807236598676689e-4,-0.6102832836591464,102,135,-0.06031702807414369,TRUE,FALSE,TRUE,-0.06031702807414369,0.5430315179131697
share,design,pop,mutil,raw,growth,fe_twoway,y2009_2013,-0.004220777811224452,7.72268274367709e-4,-5.465429503342209,102,135,-0.47593734041873276,TRUE,TRUE,TRUE,-0.47593734041873276,3.286786818103501e-7
share,design,pop,mutil,raw,growth,fe_twoway,no_bailout,-2.7898758353250125e-4,4.742913117005767e-4,-0.5882198907084935,160,190,-0.04645266528883609,TRUE,FALSE,TRUE,-0.04645266528883609,0.5572140862011219
share,design,pop,mutil,raw,growth,fe_twoway,no_GR_ES,-6.706777951170321e-4,4.495358421169394e-4,-1.4919339734039854,214,250,-0.10146021539888307,TRUE,FALSE,TRUE,-0.10146021539888307,0.13718913209152642
share,design,pop,mutil,raw,growth,fe_country,all,-0.0019506814547920936,3.9071164000896897e-4,-4.9926371652181,241,270,-0.30616056946974857,TRUE,TRUE,TRUE,-0.30616056946974857,1.1428449954090127e-6
share,design,pop,mutil,raw,growth,fe_country,y2004_2008,5.411925931258356e-4,6.991214838516147e-4,0.7741037940134324,106,135,0.07497597956866761,TRUE,FALSE,FALSE,0.07497597956866761,0.44059255178258006
share,design,pop,mutil,raw,growth,fe_country,y2009_2013,-0.005792567614482701,7.178098115734071e-4,-8.069780492113434,106,135,-0.6168926751048808,TRUE,TRUE,TRUE,-0.6168926751048808,1.169016743394107e-12
share,design,pop,mutil,raw,growth,fe_country,no_bailout,-7.79859029820393e-4,4.988566072553392e-4,-1.5632929753323344,169,190,-0.11939314071393722,TRUE,FALSE,TRUE,-0.11939314071393722,0.11985431184713129
share,design,pop,mutil,raw,growth,fe_country,no_GR_ES,-0.0012607260622526733,4.946945308791373e-4,-2.5484940373450202,223,250,-0.16822757180340167,TRUE,TRUE,TRUE,-0.16822757180340167,0.011491155546940515
