engine,outcome,copredictor,sample,estimator,reg_weight,se,estimate,std_error,statistic,df,n,fmi,m,predictor,construction,item_set,noop,cell_weight,measure,pred_form,family,positive_outcome,p,sig,supports_claim,r,r_ca
mice_pmm,mneg,other,no_bailout,re,none,clustered,0.004822852047521378,0.0016168866385418276,2.982801596944865,182.7992890228843,190,0.012018592050640741,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.003246059501598842,TRUE,TRUE,0.21543556239489042,-0.21543556239489042
mice_pmm,mcosmo,other,no_bailout,pooled_cl,none,conventional,0.006428864745931877,0.0016224383786426295,3.9624708282051477,182.9527657466652,190,0.011224877851754798,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,1.062186033672814e-4,TRUE,FALSE,0.28113666296532336,0.28113666296532336
mice_pmm,mcosmo,other,no_bailout,pooled_cl,none,clustered,0.006428864745931877,0.0033115728601262103,1.9413327193673344,183.0527456733668,190,0.010693992516715265,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.0537533560912835,FALSE,FALSE,0.14203210561647242,0.14203210561647242
mice_pmm,mutil,other,no_bailout,pooled_cl,none,conventional,0.0013861404958445285,9.643116315549577e-4,1.4374403984004316,183.0234739488367,190,0.010850606993567723,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.15230035192556302,FALSE,FALSE,0.10565710579827735,0.10565710579827735
mice_pmm,mutil,other,no_bailout,pooled_cl,none,clustered,0.0013861404958445285,0.0012067702810290256,1.1486365861301722,183.0454001974665,190,0.01073338749814844,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.2522046548882811,FALSE,FALSE,0.08459480267433654,0.08459480267433654
mice_pmm,mcomm,other,no_bailout,pooled_cl,none,conventional,-0.004338054776542827,0.0012322804838706385,-3.520346896119653,182.94553539235267,190,0.011262834336928809,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,5.43961125385137e-4,TRUE,FALSE,-0.25187883323399995,0.25187883323399995
mice_pmm,mcomm,other,no_bailout,pooled_cl,none,clustered,-0.004338054776542827,0.0028803115133521134,-1.506106112631612,183.0588647710153,190,0.010661126348014928,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.13376355067543552,FALSE,FALSE,-0.11063332503134515,0.11063332503134515
mice_pmm,mlib,other,no_bailout,pooled_cl,none,conventional,-0.003476796660283975,0.0014200643502434124,-2.4483374008283634,182.97917214585107,190,0.011085762858920904,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.01529461025185243,TRUE,FALSE,-0.17810281393729938,0.17810281393729938
mice_pmm,mlib,other,no_bailout,pooled_cl,none,clustered,-0.003476796660283975,0.001806779996135333,-1.9243054869551217,183.01947822542232,190,0.01087190844615486,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.05586746083805052,FALSE,FALSE,-0.14082370723201834,0.14082370723201834
mice_pmm,mpos,other,no_bailout,pooled_cl,none,conventional,0.007815005241776382,0.0021749227182412353,3.5932335324981266,182.98401642034696,190,0.011060157582892485,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,4.1971416923481655e-4,TRUE,FALSE,0.256728088584089,0.256728088584089
