cntry,year,edu3,mcosmo,mutil,mcomm,mlib,mpos,mneg,n,growth,unemp,bailout
AT,2008,mid,0.38159323933296535,0.07632788064294914,0.3053374378031912,0.2148236340017162,0.4579211199759145,0.5201610718049074,1095,1.460423676,4.1300001140000004,0
AT,2009,high,0.49333079117561873,0.060622774415877864,0.2877977705563912,0.1525015374153305,0.5539535655914967,0.4402993079717218,174,-3.764578178,5.300000191,0
AT,2009,low,0.34132610644956324,0.06150170131651613,0.3640737177774215,0.22075279544415347,0.40282780776607935,0.584826513221575,243,-3.764578178,5.300000191,0
AT,2009,mid,0.38529205758563556,0.09258037069963676,0.3114198594473824,0.1941939507994554,0.4778724282852723,0.5056138102468377,545,-3.764578178,5.300000191,0
AT,2010,high,0.461869067440496,0.09641837527551814,0.23153918303918303,0.19588765995908852,0.5582874427160142,0.42742684299827155,350,1.837093677,4.820000172,0
AT,2010,low,0.27242425705914547,0.03258314820180946,0.42881692907047875,0.25603367783895165,0.30500740526095493,0.6848506069094304,493,1.837093677,4.820000172,0
AT,2010,mid,0.3531215417579054,0.08033242010514738,0.3410051412182094,0.21512423025207117,0.4334539618630528,0.5561293714702805,1056,1.837093677,4.820000172,0
AT,2011,high,0.455575528616281,0.09751860817691539,0.23679831140646188,0.18502918189438566,0.5530941367931963,0.4218274933008475,319,2.922797284,4.559999943,0
AT,2011,low,0.2990731240279977,0.06624680473958452,0.3769885199036824,0.24686122641898814,0.3653199287675822,0.6238497463226705,554,2.922797284,4.559999943,0
AT,2011,mid,0.3730516090601318,0.07057268541643541,0.3194001863035954,0.21803612528044347,0.4436242944765672,0.5374363115840388,1056,2.922797284,4.559999943,0
AT,2012,high,0.4481274819285023,0.1160932675601043,0.23515205033062175,0.18532107773179202,0.5642207494886067,0.42047312806241377,392,0.680445577,4.8699998859999996,0
AT,2012,low,0.30502610206557573,0.051604596670386145,0.3695851236969658,0.26281926528637056,0.35663069873596187,0.6324043889833364,456,0.680445577,4.8699998859999996,0
AT,2012,mid,0.35124663090279135,0.08249969016444661,0.3306558770742152,0.22795692315749622,0.433746321067238,0.5586128002317114,1047,0.680445577,4.8699998859999996,0
AT,2013,high,0.5103136090285623,0.09859955724441706,0.2008206098159369,0.171574635126037,0.6089131662729793,0.3723952449419739,214,0.025504712,5.340000153,0
AT,2013,low,0.3181043056043056,0.058713096213096214,0.3449178074178074,0.2422287547287547,0.3768174018174018,0.5871465621465621,222,0.025504712,5.340000153,0
AT,2013,mid,0.37156689632131673,0.08213953150102463,0.3267525914382496,0.2097177980282106,0.4537064278223414,0.5364703894664602,509,0.025504712,5.340000153,0
BE,2004,high,0.5606887739453529,0.10345867582709688,0.18825179571890097,0.1173375966139124,0.6641474497724498,0.3055893923328134,760,3.571204343,7.360000134,0
BE,2004,low,0.37519598974822854,0.07993388038164158,0.2939530701471,0.1434543731558657,0.4551298701298701,0.4374074433029657,335,3.571204343,7.360000134,0
BE,2004,mid,0.46233762184940635,0.09133591810359487,0.2734708395482806,0.11000489098132196,0.5536735399530013,0.3834757305296026,891,3.571204343,7.360000134,0
BE,2005,high,0.5956618792604105,0.11094992658640149,0.16582304204703224,0.11532525002537242,0.7066118058468119,0.28114829207240466,817,2.321737054,8.43999958,0
