measure,predictor,outcome,pred_form,copredictor,estimator,sample,weights,estimate,se,statistic,df,n,r,positive_outcome,sig,supports_claim,r_ca
es_growth,growth,mutil,raw,unemp,re,y2004_2008,none,0.001837129278602748,6.054407815581693e-4,3.0343665880496045,127,130,0.2599966349558732,TRUE,TRUE,TRUE,-0.2599966349558732
es_growth,growth,mutil,raw,unemp,re,y2009_2013,none,-0.001001520309974889,3.6477876171351996e-4,-2.7455554300100284,127,130,-0.2367050982352206,TRUE,TRUE,FALSE,0.2367050982352206
es_growth,growth,mutil,raw,unemp,re,no_bailout,none,0.0017869023345540335,4.2850735590575437e-4,4.170062216964704,177,180,0.2990929828042038,TRUE,TRUE,TRUE,-0.2990929828042038
es_growth,growth,mutil,raw,unemp,re,no_GR_ES,none,0.0016738033891565281,3.559647822629274e-4,4.702160080319972,237,240,0.29211581069618553,TRUE,TRUE,TRUE,-0.29211581069618553
es_growth,growth,mutil,raw,unemp,pooled_cl,all,none,0.0029056960563327815,8.542333359531674e-4,3.4015250096632657,257,260,0.20756045677993049,TRUE,TRUE,TRUE,-0.20756045677993049
es_growth,growth,mutil,raw,unemp,pooled_cl,all,n_cy,0.0031161761879138113,9.469199253988851e-4,3.2908550177578513,257,260,0.20108485406342255,TRUE,TRUE,TRUE,-0.20108485406342255
es_growth,growth,mutil,raw,unemp,pooled_cl,y2004_2008,none,0.006403429963136687,0.002512448840766738,2.5486807369906552,127,130,0.22058789608422188,TRUE,TRUE,TRUE,-0.22058789608422188
es_growth,growth,mutil,raw,unemp,pooled_cl,y2004_2008,n_cy,0.006875842391841006,0.0024873897841407966,2.7642802248687715,127,130,0.23822811108885286,TRUE,TRUE,TRUE,-0.23822811108885286
es_growth,growth,mutil,raw,unemp,pooled_cl,y2009_2013,none,-7.923319838348142e-4,4.961472909947795e-4,-1.5969692835492095,127,130,-0.1403063520410303,TRUE,FALSE,FALSE,0.1403063520410303
es_growth,growth,mutil,raw,unemp,pooled_cl,y2009_2013,n_cy,-6.586969275435822e-4,5.339431052810111e-4,-1.2336462837120332,127,130,-0.10881834452246168,TRUE,FALSE,FALSE,0.10881834452246168
es_growth,growth,mutil,raw,unemp,pooled_cl,no_bailout,none,0.00300795003851914,9.690125221819998e-4,3.1041394921769516,177,180,0.22721860548195222,TRUE,TRUE,TRUE,-0.22721860548195222
es_growth,growth,mutil,raw,unemp,pooled_cl,no_bailout,n_cy,0.0032301453915070865,0.0012100191202892234,2.6694994627316344,177,180,0.19673064252090547,TRUE,TRUE,TRUE,-0.19673064252090547
es_growth,growth,mutil,raw,unemp,pooled_cl,no_GR_ES,none,0.0030872736946122754,8.976547752431886e-4,3.4392661630701906,237,240,0.2180297119567495,TRUE,TRUE,TRUE,-0.2180297119567495
es_growth,growth,mutil,raw,unemp,pooled_cl,no_GR_ES,n_cy,0.003320413193093027,0.0010047663262766043,3.3046620953128394,237,240,0.20987977220532578,TRUE,TRUE,TRUE,-0.20987977220532578
es_growth,growth,mcomm,raw,none,fe_twoway,all,none,-0.0035136717526960065,7.35229942462888e-4,-4.77901068735835,224,260,-0.3041803551260651,FALSE,TRUE,TRUE,-0.3041803551260651
es_growth,growth,mcomm,raw,none,fe_twoway,all,n_cy,-0.0035744961635975105,6.89186900037079e-4,-5.186541072392988,224,260,-0.327436666667871,FALSE,TRUE,TRUE,-0.327436666667871
es_growth,growth,mcomm,raw,none,fe_twoway,y2004_2008,none,-7.199972627178782e-4,0.0010480634882953958,-0.6869786713865063,99,130,-0.068879971756906,FALSE,FALSE,TRUE,-0.068879971756906
es_growth,growth,mcomm,raw,none,fe_twoway,y2004_2008,n_cy,-6.355598438946304e-4,9.584318775691224e-4,-0.6631246922907086,99,130,-0.06649901645698138,FALSE,FALSE,TRUE,-0.06649901645698138
es_growth,growth,mcomm,raw,none,fe_twoway,y2009_2013,none,-0.003543380166569179,7.525874832221026e-4,-4.708263485061791,99,130,-0.42772757165438774,FALSE,TRUE,TRUE,-0.42772757165438774
es_growth,growth,mcomm,raw,none,fe_twoway,y2009_2013,n_cy,-0.0029980543066830453,7.007422290465289e-4,-4.278398221786026,99,130,-0.3950240292705826,FALSE,TRUE,TRUE,-0.3950240292705826
es_growth,growth,mcomm,raw,none,fe_twoway,no_bailout,none,-8.692820420530872e-4,7.440642596124355e-4,-1.1682889358317983,152,180,-0.0943381330345423,FALSE,FALSE,TRUE,-0.0943381330345423
es_growth,growth,mcomm,raw,none,fe_twoway,no_bailout,n_cy,-0.0013806823157707158,7.947139649080862e-4,-1.7373323947194015,152,180,-0.13953764830271512,FALSE,FALSE,TRUE,-0.13953764830271512
es_growth,growth,mcomm,raw,none,fe_twoway,no_GR_ES,none,-0.0027308373741258647,7.528458743264373e-4,-3.627352512981643,206,240,-0.2450255709346755,FALSE,TRUE,TRUE,-0.2450255709346755
es_growth,growth,mcomm,raw,none,fe_twoway,no_GR_ES,n_cy,-0.0025355981072269504,6.998923630524987e-4,-3.622840083821226,206,240,-0.24473902701686973,FALSE,TRUE,TRUE,-0.24473902701686973
es_growth,growth,mcomm,raw,none,fe_country,all,none,-0.0016205051325934817,5.104250507336869e-4,-3.174815049269548,233,260,-0.20363119374842067,FALSE,TRUE,TRUE,-0.20363119374842067
es_growth,growth,mcomm,raw,none,fe_country,all,n_cy,-0.0016089969438489817,5.132961728573157e-4,-3.1346365488998984,233,260,-0.20115908342201502,FALSE,TRUE,TRUE,-0.20115908342201502
es_growth,growth,mcomm,raw,none,fe_country,y2004_2008,none,1.7859927867301876e-4,8.897889486293143e-4,0.20072094506022364,103,130,0.019773755473758533,FALSE,FALSE,FALSE,0.019773755473758533
es_growth,growth,mcomm,raw,none,fe_country,y2004_2008,n_cy,6.334309915549716e-4,8.355788971804349e-4,0.7580744244408419,103,130,0.07448778350823788,FALSE,FALSE,FALSE,0.07448778350823788
es_growth,growth,mcomm,raw,none,fe_country,y2009_2013,none,-4.1035033034453225e-4,6.155396994191395e-4,-0.6666512829826633,103,130,-0.06554584649314342,FALSE,FALSE,TRUE,-0.06554584649314342
es_growth,growth,mcomm,raw,none,fe_country,y2009_2013,n_cy,-4.126327674439608e-4,5.660497389303234e-4,-0.7289690977045974,103,130,-0.07164288782008213,FALSE,FALSE,TRUE,-0.07164288782008213
es_growth,growth,mcomm,raw,none,fe_country,no_bailout,none,4.815030629042911e-4,4.876998406681476e-4,0.9872938696158544,161,180,0.0775751782748988,FALSE,FALSE,FALSE,0.0775751782748988
es_growth,growth,mcomm,raw,none,fe_country,no_bailout,n_cy,5.341729846872221e-4,5.623247961590723e-4,0.9499367417831484,161,180,0.07465657627294686,FALSE,FALSE,FALSE,0.07465657627294686
es_growth,growth,mcomm,raw,none,fe_country,no_GR_ES,none,-0.0011481964124497833,5.037972719382625e-4,-2.279084219794045,215,240,-0.15358804484657898,FALSE,TRUE,TRUE,-0.15358804484657898
es_growth,growth,mcomm,raw,none,fe_country,no_GR_ES,n_cy,-8.408887299957824e-4,5.06129474518701e-4,-1.6614103156023812,215,240,-0.11258682325757055,FALSE,FALSE,TRUE,-0.11258682325757055
es_growth,growth,mcomm,raw,none,re,all,none,-0.0017361332503379406,5.182752395137554e-4,-3.349828658545943,258,260,-0.20415867725479064,FALSE,TRUE,TRUE,-0.20415867725479064
es_growth,growth,mcomm,raw,none,re,y2004_2008,none,-3.0464771962903563e-4,8.991556321329806e-4,-0.33881533823721827,128,130,-0.029933907913288982,FALSE,FALSE,TRUE,-0.029933907913288982
es_growth,growth,mcomm,raw,none,re,y2009_2013,none,-5.418192602113676e-4,6.269362091045412e-4,-0.8642334775738237,128,130,-0.07616627139630318,FALSE,FALSE,TRUE,-0.07616627139630318
es_growth,growth,mcomm,raw,none,re,no_bailout,none,4.273831253642613e-4,4.920677536331978e-4,0.8685452810282007,178,180,0.06496270944541471,FALSE,FALSE,FALSE,0.06496270944541471
es_growth,growth,mcomm,raw,none,re,no_GR_ES,none,-0.0012524060980191717,5.131385865839417e-4,-2.440678075598778,238,240,-0.15626220146381328,FALSE,TRUE,TRUE,-0.15626220146381328
es_growth,growth,mcomm,raw,none,pooled_cl,all,none,-0.004081558806570337,0.0015037261057816035,-2.7142966999624134,258,260,-0.1666224548399293,FALSE,TRUE,TRUE,-0.1666224548399293
es_growth,growth,mcomm,raw,none,pooled_cl,all,n_cy,-0.00457196002182763,0.0016416214075051347,-2.78502704760405,258,260,-0.17083921655872714,FALSE,TRUE,TRUE,-0.17083921655872714
es_growth,growth,mcomm,raw,none,pooled_cl,y2004_2008,none,-0.0057797722645614585,0.002360058834487683,-2.448994991184667,128,130,-0.2115628579079331,FALSE,TRUE,TRUE,-0.2115628579079331
es_growth,growth,mcomm,raw,none,pooled_cl,y2004_2008,n_cy,-0.005617525611214563,0.002557280839491776,-2.196679193174172,128,130,-0.19060139332129203,FALSE,TRUE,TRUE,-0.19060139332129203
es_growth,growth,mcomm,raw,none,pooled_cl,y2009_2013,none,-0.003831327026311614,0.002110299258259833,-1.8155373041598621,128,130,-0.15844521882169038,FALSE,FALSE,TRUE,-0.15844521882169038
es_growth,growth,mcomm,raw,none,pooled_cl,y2009_2013,n_cy,-0.004769435325247581,0.0023571195023160702,-2.023416852883872,128,130,-0.17605301316660724,FALSE,TRUE,TRUE,-0.17605301316660724
es_growth,growth,mcomm,raw,none,pooled_cl,no_bailout,none,-0.0015551410015533819,0.001105867863858867,-1.4062629472989658,178,180,-0.10482318115514838,FALSE,FALSE,TRUE,-0.10482318115514838
es_growth,growth,mcomm,raw,none,pooled_cl,no_bailout,n_cy,-0.0020315463294835745,0.0012491672047072353,-1.6263205772838902,178,180,-0.12100220435418156,FALSE,FALSE,TRUE,-0.12100220435418156
es_growth,growth,mcomm,raw,none,pooled_cl,no_GR_ES,none,-0.003450774212804205,0.0014160366014188332,-2.4369244476778467,238,240,-0.15602773380570087,FALSE,TRUE,TRUE,-0.15602773380570087
es_growth,growth,mcomm,raw,none,pooled_cl,no_GR_ES,n_cy,-0.0035761730064664404,0.0013476995436732815,-2.653538782627503,238,240,-0.16951409828398045,FALSE,TRUE,TRUE,-0.16951409828398045
es_growth,growth,mcomm,raw,unemp,fe_twoway,all,none,-0.001620455334925902,7.158494356052075e-4,-2.2636817944207848,223,260,-0.1498751552791117,FALSE,TRUE,TRUE,-0.1498751552791117
es_growth,growth,mcomm,raw,unemp,fe_twoway,all,n_cy,-0.0018935672605363716,6.663789748335702e-4,-2.841577138608394,223,260,-0.18693188359319401,FALSE,TRUE,TRUE,-0.18693188359319401
es_growth,growth,mcomm,raw,unemp,fe_twoway,y2004_2008,none,3.1550495756276127e-4,0.0010227507404952008,0.30848665766792643,98,130,0.03114673919164891,FALSE,FALSE,FALSE,0.03114673919164891
es_growth,growth,mcomm,raw,unemp,fe_twoway,y2004_2008,n_cy,2.9424734151107417e-4,9.359808084128379e-4,0.3143732637104339,98,130,0.03174049451326148,FALSE,FALSE,FALSE,0.03174049451326148
es_growth,growth,mcomm,raw,unemp,fe_twoway,y2009_2013,none,-0.0017493600760963824,6.579616384721191e-4,-2.658756945402845,98,130,-0.25938291208606723,FALSE,TRUE,TRUE,-0.25938291208606723
es_growth,growth,mcomm,raw,unemp,fe_twoway,y2009_2013,n_cy,-0.0017079193815820286,6.325198889233412e-4,-2.700182889883833,98,130,-0.2631464898370968,FALSE,TRUE,TRUE,-0.2631464898370968
