construction,item_set,noop,cell_weight,cntry,year,n_cell,n_eff_cell,outcome,value
count,all,drop,design,FR,2010,1974,1829.8892535113234,mcomm,0.5878580921794451
count,all,drop,design,FR,2011,1970,1839.2521251673304,mcomm,0.6237861420998089
count,all,drop,design,FR,2012,1962,1812.4625671406466,mcomm,0.588668009194814
count,all,drop,design,FR,2013,969,883.1085212655546,mcomm,0.6709861970646569
count,all,drop,design,GB,2004,2287,2033.750105995941,mcomm,0.7739112460227413
count,all,drop,design,GB,2005,2272,2004.5921739449639,mcomm,0.7803271795933026
count,all,drop,design,GB,2006,1133,1027.6903994051954,mcomm,0.7135284458859869
count,all,drop,design,GB,2007,1131,1001.9593284044684,mcomm,0.7789636931648976
count,all,drop,design,GB,2008,2163,1922.6973576183225,mcomm,0.7290130775723083
count,all,drop,design,GB,2009,1116,1043.6902982551235,mcomm,0.6840097848299311
count,all,drop,design,GB,2010,2210,1990.1011222189331,mcomm,0.7011513889678562
count,all,drop,design,GB,2011,2230,2050.850369285521,mcomm,0.6652184641181241
count,all,drop,design,GB,2012,2197,1897.3263875291732,mcomm,0.7455871889008762
count,all,drop,design,GB,2013,1125,989.7198159105282,mcomm,0.7195833570505575
count,all,drop,design,GR,2004,1916,1826.4725206197475,mcomm,0.7099209407336418
count,all,drop,design,GR,2005,1970,1781.1209134288395,mcomm,0.8911780076802548
count,all,drop,design,GR,2006,986,878.7287429913839,mcomm,0.8809294873011835
count,all,drop,design,GR,2007,989,924.820375034302,mcomm,0.8080543609777382
count,all,drop,design,GR,2008,1960,1891.7694193802308,mcomm,0.8928568825671268
count,all,drop,design,GR,2009,969,923.0860496458432,mcomm,0.681217980514442
count,all,drop,design,GR,2010,1898,1836.9801544504464,mcomm,0.8593441633889806
count,all,drop,design,GR,2011,1932,1851.766118747948,mcomm,0.9832760525950074
count,all,drop,design,GR,2012,1876,1790.8038594090772,mcomm,1.0844243196571555
count,all,drop,design,GR,2013,943,906.8626970432533,mcomm,1.082022407690514
count,all,drop,design,HU,2004,961,825.9869575900564,mcomm,0.6382336514345449
count,all,drop,design,HU,2005,1883,1660.1847942238348,mcomm,0.5523899762129746
count,all,drop,design,HU,2006,937,820.0149954865929,mcomm,0.43158814547397006
count,all,drop,design,HU,2007,974,862.656060060101,mcomm,0.6491115720653545
count,all,drop,design,HU,2008,1863,1699.253964860039,mcomm,0.5690943775137909
count,all,drop,design,HU,2009,943,835.895484287633,mcomm,0.6849950857210038
count,all,drop,design,HU,2010,1913,1780.7564204770292,mcomm,0.6096688761056318
count,all,drop,design,HU,2011,1874,1778.321405506682,mcomm,0.64428426034591
